Aeromicrobium	Sorangium	Agromyces	Umezawaea	Solirubrobacter	Cellulomonas	Bradyrhizobium	Bacillus	Amycolatopsis	Galbitalea	Phycicoccus	Blastococcus	Gaiella	Conexibacter	Terrabacter	Paenibacillus	Saccharibacteria_genera_incertae_sedis	Phenylobacterium	g__Mortierella	Chryseolinea	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Haliangium	Rhizocola	g__Apodus	Knoellia	Saccharothrix	Sporosarcina	Sporichthya	Ilumatobacter	Nitrospira	Cellvibrio	Arenimonas	Catellatospora	Peredibacter	Panacagrimonas	Rhodoligotrophos	Neptunomonas	Pseudolabrys	Ramlibacter	Chitinimonas	Nannocystis	Methyloceanibacter	Streptosporangium	Amaricoccus	Povalibacter	Labilithrix	Adhaeribacter	Nitrincola	Lautropia	Thiomonas	Halobacteriovorax	Tumebacillus	Ardenticatena	Rubrobacter	Luteivirga	Nakamurella	Sanguibacter	Tahibacter	Sandaracinus	Sulfurisoma	Polyangium	Armatimonadetes_gp5
Gemmatimonas	0.928571428571429	0.880952380952381	0.976190476190476	0.880952380952381	0.976190476190476	0.928571428571429	0.952380952380953	0.80952380952381	0.785714285714286	0.880952380952381	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	1	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	0.880952380952381	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.946124746911475	0.952380952380953	0.80952380952381	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.880952380952381	0.833333333333333	0.904761904761905	0.738095238095238	0.976190476190476	0.785714285714286	0.952380952380953	0.904761904761905	0.904761904761905	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.833333333333333	0.976190476190476	0.802409595481884	0.874267171196679	0.833333333333333	0.904761904761905	0.785714285714286	0.952380952380953	0.976190476190476	0.833333333333333	0.928571428571429	0.880952380952381	0.826362120720149	0.730552019767088	0.706599494528823	0.826362120720149	0.785714285714286	0.874267171196679
Dongia	0.880952380952381	0.785714285714286	0.904761904761905	0.928571428571429	0.904761904761905	0.880952380952381	1	0.714285714285714	0.880952380952381	0.928571428571429	0.904761904761905	0.761904761904762	0.928571428571429	0.976190476190476	0.952380952380953	0.785714285714286	0.904761904761905	0.833333333333333	0.857142857142857	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.904761904761905	0.904761904761905	0.976190476190476	0.97007727214974	0.857142857142857	0.785714285714286	0.738095238095238	0.904761904761905	0.976190476190476	0.857142857142857	0.80952380952381	0.928571428571429	0.833333333333333	0.761904761904762	0.785714285714286	0.904761904761905	0.738095238095238	1	0.904761904761905	0.928571428571429	0.761904761904762	0.904761904761905	0.761904761904762	0.761904761904762	0.833333333333333	0.904761904761905	0.658694444052292	0.730552019767088	0.761904761904762	0.976190476190476	0.880952380952381	0.857142857142857	0.976190476190476	0.690476190476191	0.880952380952381	0.785714285714286	0.850314645958414	0.754504545005353	0.610789393575762	0.850314645958414	0.738095238095238	0.802409595481884
Aquihabitans	0.976190476190476	0.928571428571429	0.928571428571429	0.976190476190476	0.928571428571429	0.976190476190476	0.904761904761905	0.857142857142857	0.928571428571429	0.928571428571429	0.833333333333333	0.80952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.857142857142857	0.833333333333333	0.880952380952381	0.857142857142857	0.928571428571429	0.904761904761905	0.904761904761905	0.833333333333333	0.928571428571429	0.904761904761905	0.904761904761905	1	0.928571428571429	0.952380952380953	0.898219696434944	0.857142857142857	0.857142857142857	0.80952380952381	0.833333333333333	0.928571428571429	0.857142857142857	0.880952380952381	0.928571428571429	0.928571428571429	0.80952380952381	0.833333333333333	0.833333333333333	0.833333333333333	0.904761904761905	0.952380952380953	0.952380952380953	0.80952380952381	0.928571428571429	0.785714285714286	0.80952380952381	0.928571428571429	0.833333333333333	0.754504545005353	0.778457070243618	0.785714285714286	0.952380952380953	0.928571428571429	0.857142857142857	0.928571428571429	0.785714285714286	0.976190476190476	0.833333333333333	0.97007727214974	0.922172221673209	0.850314645958414	0.97007727214974	0.928571428571429	0.826362120720149
Haliangium	0.976190476190476	0.952380952380953	1	0.904761904761905	1	0.976190476190476	0.904761904761905	0.904761904761905	0.80952380952381	0.833333333333333	0.928571428571429	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.833333333333333	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	1	0.880952380952381	0.898219696434944	0.976190476190476	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.833333333333333	0.904761904761905	0.952380952380953	0.80952380952381	0.952380952380953	0.833333333333333	0.904761904761905	0.952380952380953	0.880952380952381	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.886243433815812	0.910195959054077	0.904761904761905	0.880952380952381	0.80952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.976190476190476	0.928571428571429	0.874267171196679	0.802409595481884	0.814385858101016	0.874267171196679	0.833333333333333	0.922172221673209
Rhizocola	0.904761904761905	0.80952380952381	0.880952380952381	0.976190476190476	0.880952380952381	0.904761904761905	0.976190476190476	0.738095238095238	0.952380952380953	0.952380952380953	0.833333333333333	0.714285714285714	0.904761904761905	0.928571428571429	0.904761904761905	0.761904761904762	0.833333333333333	0.857142857142857	0.80952380952381	0.952380952380953	0.904761904761905	0.904761904761905	0.833333333333333	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	1	0.946124746911475	0.80952380952381	0.80952380952381	0.714285714285714	0.833333333333333	0.952380952380953	0.80952380952381	0.785714285714286	0.952380952380953	0.880952380952381	0.714285714285714	0.833333333333333	0.833333333333333	0.761904761904762	0.976190476190476	0.928571428571429	0.952380952380953	0.714285714285714	0.880952380952381	0.738095238095238	0.714285714285714	0.880952380952381	0.833333333333333	0.634741918814027	0.682646969290558	0.738095238095238	1	0.952380952380953	0.80952380952381	0.952380952380953	0.666666666666667	0.904761904761905	0.761904761904762	0.922172221673209	0.850314645958414	0.682646969290558	0.922172221673209	0.80952380952381	0.778457070243618
g__Apodus	0.874267171196679	0.790433332862751	0.898219696434944	0.898219696434944	0.898219696434944	0.874267171196679	0.97007727214974	0.706599494528823	0.838338383339281	0.898219696434944	0.910195959054077	0.742528282386221	0.898219696434944	0.946124746911475	0.946124746911475	0.838338383339281	0.874267171196679	0.790433332862751	0.826362120720149	0.898219696434944	0.946124746911475	0.946124746911475	0.874267171196679	0.97007727214974	0.946124746911475	0.97007727214974	0.898219696434944	0.898219696434944	0.946124746911475	1	0.826362120720149	0.706599494528823	0.730552019767088	0.910195959054077	0.97007727214974	0.826362120720149	0.814385858101016	0.898219696434944	0.778457070243618	0.742528282386221	0.730552019767088	0.874267171196679	0.658694444052292	0.97007727214974	0.874267171196679	0.97007727214974	0.778457070243618	0.898219696434944	0.730552019767088	0.778457070243618	0.778457070243618	0.910195959054077	0.608433734939759	0.740963855421687	0.730552019767088	0.946124746911475	0.838338383339281	0.826362120720149	0.97007727214974	0.64671818143316	0.874267171196679	0.730552019767088	0.807228915662651	0.734939759036145	0.596385542168675	0.807228915662651	0.754504545005353	0.734939759036145
Knoellia	0.928571428571429	0.904761904761905	0.976190476190476	0.833333333333333	0.976190476190476	0.928571428571429	0.857142857142857	0.857142857142857	0.714285714285714	0.785714285714286	0.904761904761905	0.976190476190476	0.952380952380953	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	0.857142857142857	1	0.785714285714286	0.952380952380953	0.952380952380953	0.976190476190476	0.880952380952381	0.952380952380953	0.857142857142857	0.857142857142857	0.976190476190476	0.80952380952381	0.826362120720149	1	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	1	0.952380952380953	0.785714285714286	0.880952380952381	0.976190476190476	0.738095238095238	0.976190476190476	0.880952380952381	0.857142857142857	0.904761904761905	0.785714285714286	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.934148484292342	0.886243433815812	0.880952380952381	0.80952380952381	0.714285714285714	1	0.880952380952381	0.952380952380953	0.928571428571429	0.976190476190476	0.826362120720149	0.754504545005353	0.766480807624486	0.826362120720149	0.738095238095238	0.97007727214974
Saccharothrix	0.904761904761905	0.857142857142857	0.880952380952381	0.880952380952381	0.880952380952381	0.904761904761905	0.785714285714286	0.833333333333333	0.80952380952381	0.761904761904762	0.690476190476191	0.857142857142857	0.904761904761905	0.833333333333333	0.80952380952381	0.761904761904762	0.833333333333333	0.904761904761905	0.904761904761905	0.761904761904762	0.80952380952381	0.80952380952381	0.833333333333333	0.761904761904762	0.80952380952381	0.785714285714286	0.857142857142857	0.880952380952381	0.80952380952381	0.706599494528823	0.904761904761905	1	0.80952380952381	0.690476190476191	0.761904761904762	0.904761904761905	0.833333333333333	0.761904761904762	0.976190476190476	0.857142857142857	0.833333333333333	0.833333333333333	0.952380952380953	0.785714285714286	0.928571428571429	0.714285714285714	0.714285714285714	0.880952380952381	0.833333333333333	0.714285714285714	0.976190476190476	0.690476190476191	0.898219696434944	0.706599494528823	0.833333333333333	0.80952380952381	0.80952380952381	0.904761904761905	0.761904761904762	0.904761904761905	0.904761904761905	0.952380952380953	0.922172221673209	0.898219696434944	0.802409595481884	0.922172221673209	0.714285714285714	0.97007727214974
Sporosarcina	0.904761904761905	0.952380952380953	0.928571428571429	0.785714285714286	0.928571428571429	0.904761904761905	0.738095238095238	0.976190476190476	0.714285714285714	0.619047619047619	0.833333333333333	0.952380952380953	0.904761904761905	0.833333333333333	0.857142857142857	0.952380952380953	0.833333333333333	0.904761904761905	0.904761904761905	0.619047619047619	0.857142857142857	0.857142857142857	0.833333333333333	0.761904761904762	0.857142857142857	0.738095238095238	0.80952380952381	0.928571428571429	0.714285714285714	0.730552019767088	0.904761904761905	0.80952380952381	1	0.833333333333333	0.761904761904762	0.904761904761905	0.976190476190476	0.619047619047619	0.833333333333333	0.952380952380953	0.833333333333333	0.833333333333333	0.714285714285714	0.738095238095238	0.880952380952381	0.714285714285714	0.952380952380953	0.928571428571429	0.976190476190476	0.952380952380953	0.833333333333333	0.833333333333333	0.922172221673209	0.97007727214974	0.976190476190476	0.714285714285714	0.714285714285714	0.904761904761905	0.761904761904762	0.904761904761905	0.904761904761905	0.857142857142857	0.754504545005353	0.682646969290558	0.874267171196679	0.754504545005353	0.80952380952381	0.850314645958414
Sporichthya	0.857142857142857	0.833333333333333	0.928571428571429	0.785714285714286	0.928571428571429	0.857142857142857	0.904761904761905	0.761904761904762	0.690476190476191	0.833333333333333	1	0.880952380952381	0.880952380952381	0.928571428571429	0.976190476190476	0.880952380952381	0.952380952380953	0.738095238095238	0.904761904761905	0.833333333333333	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.833333333333333	0.928571428571429	0.833333333333333	0.910195959054077	0.904761904761905	0.690476190476191	0.833333333333333	1	0.952380952380953	0.904761904761905	0.904761904761905	0.833333333333333	0.714285714285714	0.880952380952381	0.642857142857143	0.952380952380953	0.690476190476191	0.904761904761905	0.80952380952381	0.857142857142857	0.928571428571429	0.928571428571429	0.785714285714286	0.928571428571429	0.714285714285714	1	0.754504545005353	0.898219696434944	0.785714285714286	0.833333333333333	0.690476190476191	0.904761904761905	0.952380952380953	0.785714285714286	0.857142857142857	0.80952380952381	0.718575757147955	0.59881313095663	0.658694444052292	0.718575757147955	0.761904761904762	0.790433332862751
Ilumatobacter	0.904761904761905	0.833333333333333	0.928571428571429	0.904761904761905	0.928571428571429	0.904761904761905	0.976190476190476	0.738095238095238	0.833333333333333	0.952380952380953	0.952380952380953	0.80952380952381	0.904761904761905	0.952380952380953	0.976190476190476	0.833333333333333	0.928571428571429	0.785714285714286	0.880952380952381	0.952380952380953	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.976190476190476	0.928571428571429	0.928571428571429	0.952380952380953	0.97007727214974	0.880952380952381	0.761904761904762	0.761904761904762	0.952380952380953	1	0.880952380952381	0.857142857142857	0.952380952380953	0.80952380952381	0.80952380952381	0.714285714285714	0.928571428571429	0.761904761904762	0.976190476190476	0.880952380952381	0.952380952380953	0.833333333333333	0.928571428571429	0.738095238095238	0.833333333333333	0.80952380952381	0.952380952380953	0.69462323190969	0.790433332862751	0.738095238095238	0.952380952380953	0.833333333333333	0.880952380952381	1	0.738095238095238	0.904761904761905	0.80952380952381	0.850314645958414	0.754504545005353	0.670670706671425	0.850314645958414	0.80952380952381	0.802409595481884
Nitrospira	0.928571428571429	0.904761904761905	0.976190476190476	0.833333333333333	0.976190476190476	0.928571428571429	0.857142857142857	0.857142857142857	0.714285714285714	0.785714285714286	0.904761904761905	0.976190476190476	0.952380952380953	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	0.857142857142857	1	0.785714285714286	0.952380952380953	0.952380952380953	0.976190476190476	0.880952380952381	0.952380952380953	0.857142857142857	0.857142857142857	0.976190476190476	0.80952380952381	0.826362120720149	1	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	1	0.952380952380953	0.785714285714286	0.880952380952381	0.976190476190476	0.738095238095238	0.976190476190476	0.880952380952381	0.857142857142857	0.904761904761905	0.785714285714286	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.934148484292342	0.886243433815812	0.880952380952381	0.80952380952381	0.714285714285714	1	0.880952380952381	0.952380952380953	0.928571428571429	0.976190476190476	0.826362120720149	0.754504545005353	0.766480807624486	0.826362120720149	0.738095238095238	0.97007727214974
Cellvibrio	0.952380952380953	0.976190476190476	0.976190476190476	0.833333333333333	0.976190476190476	0.952380952380953	0.80952380952381	0.952380952380953	0.738095238095238	0.738095238095238	0.904761904761905	0.976190476190476	0.928571428571429	0.880952380952381	0.928571428571429	0.976190476190476	0.904761904761905	0.880952380952381	0.952380952380953	0.738095238095238	0.928571428571429	0.928571428571429	0.904761904761905	0.857142857142857	0.928571428571429	0.80952380952381	0.880952380952381	0.976190476190476	0.785714285714286	0.814385858101016	0.952380952380953	0.833333333333333	0.976190476190476	0.904761904761905	0.857142857142857	0.952380952380953	1	0.738095238095238	0.857142857142857	0.976190476190476	0.785714285714286	0.904761904761905	0.785714285714286	0.80952380952381	0.904761904761905	0.80952380952381	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.857142857142857	0.904761904761905	0.922172221673209	0.97007727214974	0.928571428571429	0.785714285714286	0.738095238095238	0.952380952380953	0.857142857142857	0.928571428571429	0.952380952380953	0.904761904761905	0.814385858101016	0.742528282386221	0.874267171196679	0.814385858101016	0.857142857142857	0.886243433815812
Arenimonas	0.857142857142857	0.761904761904762	0.833333333333333	0.904761904761905	0.833333333333333	0.857142857142857	0.928571428571429	0.642857142857143	0.857142857142857	1	0.833333333333333	0.690476190476191	0.80952380952381	0.857142857142857	0.880952380952381	0.690476190476191	0.833333333333333	0.714285714285714	0.785714285714286	1	0.880952380952381	0.880952380952381	0.833333333333333	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.833333333333333	0.952380952380953	0.898219696434944	0.785714285714286	0.761904761904762	0.619047619047619	0.833333333333333	0.952380952380953	0.785714285714286	0.738095238095238	1	0.80952380952381	0.690476190476191	0.666666666666667	0.833333333333333	0.80952380952381	0.928571428571429	0.833333333333333	0.928571428571429	0.690476190476191	0.833333333333333	0.595238095238095	0.690476190476191	0.80952380952381	0.833333333333333	0.610789393575762	0.634741918814027	0.595238095238095	0.952380952380953	0.857142857142857	0.785714285714286	0.952380952380953	0.666666666666667	0.857142857142857	0.761904761904762	0.898219696434944	0.826362120720149	0.658694444052292	0.898219696434944	0.80952380952381	0.754504545005353
Catellatospora	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.952380952380953	0.833333333333333	0.880952380952381	0.904761904761905	0.80952380952381	0.714285714285714	0.833333333333333	0.928571428571429	0.857142857142857	0.833333333333333	0.80952380952381	0.80952380952381	0.952380952380953	0.880952380952381	0.80952380952381	0.833333333333333	0.833333333333333	0.80952380952381	0.80952380952381	0.833333333333333	0.833333333333333	0.928571428571429	0.904761904761905	0.880952380952381	0.778457070243618	0.880952380952381	0.976190476190476	0.833333333333333	0.714285714285714	0.80952380952381	0.880952380952381	0.857142857142857	0.80952380952381	1	0.833333333333333	0.904761904761905	0.80952380952381	0.904761904761905	0.833333333333333	0.976190476190476	0.80952380952381	0.738095238095238	0.904761904761905	0.857142857142857	0.738095238095238	1	0.714285714285714	0.850314645958414	0.730552019767088	0.857142857142857	0.880952380952381	0.904761904761905	0.880952380952381	0.80952380952381	0.857142857142857	0.952380952380953	0.904761904761905	0.97007727214974	0.946124746911475	0.850314645958414	0.97007727214974	0.80952380952381	0.922172221673209
Peredibacter	0.904761904761905	0.928571428571429	0.952380952380953	0.761904761904762	0.952380952380953	0.904761904761905	0.761904761904762	0.904761904761905	0.642857142857143	0.690476190476191	0.880952380952381	1	0.904761904761905	0.857142857142857	0.904761904761905	0.928571428571429	0.928571428571429	0.833333333333333	0.976190476190476	0.690476190476191	0.904761904761905	0.904761904761905	0.928571428571429	0.80952380952381	0.904761904761905	0.761904761904762	0.80952380952381	0.952380952380953	0.714285714285714	0.742528282386221	0.976190476190476	0.857142857142857	0.952380952380953	0.880952380952381	0.80952380952381	0.976190476190476	0.976190476190476	0.690476190476191	0.833333333333333	1	0.714285714285714	0.928571428571429	0.833333333333333	0.761904761904762	0.857142857142857	0.714285714285714	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.833333333333333	0.880952380952381	0.97007727214974	0.946124746911475	0.904761904761905	0.714285714285714	0.642857142857143	0.976190476190476	0.80952380952381	0.976190476190476	0.904761904761905	0.952380952380953	0.766480807624486	0.69462323190969	0.826362120720149	0.766480807624486	0.761904761904762	0.934148484292342
Panacagrimonas	0.857142857142857	0.833333333333333	0.80952380952381	0.904761904761905	0.80952380952381	0.857142857142857	0.785714285714286	0.880952380952381	0.928571428571429	0.666666666666667	0.642857142857143	0.714285714285714	0.880952380952381	0.80952380952381	0.738095238095238	0.761904761904762	0.666666666666667	0.976190476190476	0.738095238095238	0.666666666666667	0.738095238095238	0.738095238095238	0.666666666666667	0.714285714285714	0.738095238095238	0.785714285714286	0.833333333333333	0.80952380952381	0.833333333333333	0.730552019767088	0.738095238095238	0.833333333333333	0.833333333333333	0.642857142857143	0.714285714285714	0.738095238095238	0.785714285714286	0.666666666666667	0.904761904761905	0.714285714285714	1	0.666666666666667	0.666666666666667	0.785714285714286	0.928571428571429	0.738095238095238	0.690476190476191	0.80952380952381	0.904761904761905	0.690476190476191	0.904761904761905	0.642857142857143	0.718575757147955	0.718575757147955	0.904761904761905	0.833333333333333	0.928571428571429	0.738095238095238	0.714285714285714	0.690476190476191	0.857142857142857	0.714285714285714	0.850314645958414	0.802409595481884	0.790433332862751	0.850314645958414	0.761904761904762	0.754504545005353
Rhodoligotrophos	0.880952380952381	0.833333333333333	0.952380952380953	0.80952380952381	0.952380952380953	0.880952380952381	0.904761904761905	0.761904761904762	0.690476190476191	0.833333333333333	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	0.857142857142857	1	0.785714285714286	0.976190476190476	0.833333333333333	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	0.833333333333333	0.874267171196679	0.976190476190476	0.833333333333333	0.833333333333333	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.80952380952381	0.928571428571429	0.666666666666667	1	0.833333333333333	0.904761904761905	0.857142857142857	0.80952380952381	0.880952380952381	0.952380952380953	0.80952380952381	0.880952380952381	0.80952380952381	0.952380952380953	0.850314645958414	0.850314645958414	0.80952380952381	0.833333333333333	0.690476190476191	0.976190476190476	0.928571428571429	0.880952380952381	0.880952380952381	0.928571428571429	0.778457070243618	0.682646969290558	0.658694444052292	0.778457070243618	0.690476190476191	0.922172221673209
Neptunomonas	0.857142857142857	0.80952380952381	0.833333333333333	0.80952380952381	0.833333333333333	0.857142857142857	0.738095238095238	0.738095238095238	0.714285714285714	0.80952380952381	0.690476190476191	0.833333333333333	0.80952380952381	0.761904761904762	0.785714285714286	0.690476190476191	0.833333333333333	0.761904761904762	0.880952380952381	0.80952380952381	0.785714285714286	0.785714285714286	0.833333333333333	0.761904761904762	0.785714285714286	0.738095238095238	0.833333333333333	0.833333333333333	0.761904761904762	0.658694444052292	0.880952380952381	0.952380952380953	0.714285714285714	0.690476190476191	0.761904761904762	0.880952380952381	0.785714285714286	0.80952380952381	0.904761904761905	0.833333333333333	0.666666666666667	0.833333333333333	1	0.738095238095238	0.833333333333333	0.690476190476191	0.690476190476191	0.833333333333333	0.690476190476191	0.690476190476191	0.904761904761905	0.690476190476191	0.874267171196679	0.658694444052292	0.690476190476191	0.761904761904762	0.714285714285714	0.880952380952381	0.761904761904762	0.904761904761905	0.857142857142857	0.952380952380953	0.898219696434944	0.874267171196679	0.778457070243618	0.898219696434944	0.714285714285714	0.946124746911475
Pseudolabrys	0.880952380952381	0.785714285714286	0.904761904761905	0.928571428571429	0.904761904761905	0.880952380952381	1	0.714285714285714	0.880952380952381	0.928571428571429	0.904761904761905	0.761904761904762	0.928571428571429	0.976190476190476	0.952380952380953	0.785714285714286	0.904761904761905	0.833333333333333	0.857142857142857	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.904761904761905	0.904761904761905	0.976190476190476	0.97007727214974	0.857142857142857	0.785714285714286	0.738095238095238	0.904761904761905	0.976190476190476	0.857142857142857	0.80952380952381	0.928571428571429	0.833333333333333	0.761904761904762	0.785714285714286	0.904761904761905	0.738095238095238	1	0.904761904761905	0.928571428571429	0.761904761904762	0.904761904761905	0.761904761904762	0.761904761904762	0.833333333333333	0.904761904761905	0.658694444052292	0.730552019767088	0.761904761904762	0.976190476190476	0.880952380952381	0.857142857142857	0.976190476190476	0.690476190476191	0.880952380952381	0.785714285714286	0.850314645958414	0.754504545005353	0.610789393575762	0.850314645958414	0.738095238095238	0.802409595481884
Ramlibacter	0.976190476190476	0.928571428571429	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.904761904761905	0.928571428571429	0.833333333333333	0.80952380952381	0.857142857142857	0.976190476190476	0.928571428571429	0.904761904761905	0.880952380952381	0.857142857142857	0.976190476190476	0.904761904761905	0.833333333333333	0.904761904761905	0.904761904761905	0.857142857142857	0.880952380952381	0.904761904761905	0.904761904761905	0.952380952380953	0.952380952380953	0.928571428571429	0.874267171196679	0.904761904761905	0.928571428571429	0.880952380952381	0.80952380952381	0.880952380952381	0.904761904761905	0.904761904761905	0.833333333333333	0.976190476190476	0.857142857142857	0.928571428571429	0.857142857142857	0.833333333333333	0.904761904761905	1	0.880952380952381	0.80952380952381	0.952380952380953	0.904761904761905	0.80952380952381	0.976190476190476	0.80952380952381	0.826362120720149	0.802409595481884	0.904761904761905	0.928571428571429	0.928571428571429	0.904761904761905	0.880952380952381	0.833333333333333	0.976190476190476	0.880952380952381	0.946124746911475	0.898219696434944	0.826362120720149	0.946124746911475	0.833333333333333	0.898219696434944
Chitinimonas	0.904761904761905	0.833333333333333	0.880952380952381	0.928571428571429	0.880952380952381	0.904761904761905	0.928571428571429	0.738095238095238	0.880952380952381	0.928571428571429	0.857142857142857	0.714285714285714	0.857142857142857	0.880952380952381	0.904761904761905	0.833333333333333	0.80952380952381	0.785714285714286	0.785714285714286	0.928571428571429	0.904761904761905	0.904761904761905	0.80952380952381	0.952380952380953	0.904761904761905	0.928571428571429	0.952380952380953	0.880952380952381	0.952380952380953	0.97007727214974	0.785714285714286	0.714285714285714	0.714285714285714	0.857142857142857	0.952380952380953	0.785714285714286	0.80952380952381	0.928571428571429	0.80952380952381	0.714285714285714	0.738095238095238	0.80952380952381	0.690476190476191	0.928571428571429	0.880952380952381	1	0.761904761904762	0.880952380952381	0.690476190476191	0.761904761904762	0.80952380952381	0.857142857142857	0.59881313095663	0.718575757147955	0.690476190476191	0.952380952380953	0.880952380952381	0.785714285714286	0.952380952380953	0.642857142857143	0.904761904761905	0.714285714285714	0.874267171196679	0.826362120720149	0.69462323190969	0.874267171196679	0.857142857142857	0.706599494528823
Nannocystis	0.880952380952381	0.928571428571429	0.928571428571429	0.738095238095238	0.928571428571429	0.880952380952381	0.761904761904762	0.904761904761905	0.642857142857143	0.690476190476191	0.928571428571429	0.952380952380953	0.857142857142857	0.833333333333333	0.904761904761905	0.952380952380953	0.880952380952381	0.785714285714286	0.904761904761905	0.690476190476191	0.904761904761905	0.904761904761905	0.880952380952381	0.833333333333333	0.904761904761905	0.761904761904762	0.80952380952381	0.928571428571429	0.714285714285714	0.778457070243618	0.904761904761905	0.714285714285714	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.976190476190476	0.690476190476191	0.738095238095238	0.952380952380953	0.690476190476191	0.880952380952381	0.690476190476191	0.761904761904762	0.80952380952381	0.761904761904762	1	0.928571428571429	0.880952380952381	1	0.738095238095238	0.928571428571429	0.874267171196679	0.994029797388005	0.880952380952381	0.714285714285714	0.642857142857143	0.904761904761905	0.833333333333333	0.880952380952381	0.880952380952381	0.833333333333333	0.706599494528823	0.610789393575762	0.826362120720149	0.706599494528823	0.833333333333333	0.802409595481884
Methyloceanibacter	0.976190476190476	0.952380952380953	1	0.904761904761905	1	0.976190476190476	0.904761904761905	0.904761904761905	0.80952380952381	0.833333333333333	0.928571428571429	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.833333333333333	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	1	0.880952380952381	0.898219696434944	0.976190476190476	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.833333333333333	0.904761904761905	0.952380952380953	0.80952380952381	0.952380952380953	0.833333333333333	0.904761904761905	0.952380952380953	0.880952380952381	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.886243433815812	0.910195959054077	0.904761904761905	0.880952380952381	0.80952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.976190476190476	0.928571428571429	0.874267171196679	0.802409595481884	0.814385858101016	0.874267171196679	0.833333333333333	0.922172221673209
Streptosporangium	0.880952380952381	0.904761904761905	0.904761904761905	0.80952380952381	0.904761904761905	0.880952380952381	0.761904761904762	0.952380952380953	0.761904761904762	0.595238095238095	0.785714285714286	0.904761904761905	0.928571428571429	0.857142857142857	0.833333333333333	0.904761904761905	0.80952380952381	0.952380952380953	0.880952380952381	0.595238095238095	0.833333333333333	0.833333333333333	0.80952380952381	0.738095238095238	0.833333333333333	0.761904761904762	0.785714285714286	0.904761904761905	0.738095238095238	0.730552019767088	0.880952380952381	0.833333333333333	0.976190476190476	0.785714285714286	0.738095238095238	0.880952380952381	0.928571428571429	0.595238095238095	0.857142857142857	0.904761904761905	0.904761904761905	0.80952380952381	0.690476190476191	0.761904761904762	0.904761904761905	0.690476190476191	0.880952380952381	0.904761904761905	1	0.880952380952381	0.857142857142857	0.785714285714286	0.886243433815812	0.910195959054077	1	0.738095238095238	0.761904761904762	0.880952380952381	0.738095238095238	0.857142857142857	0.880952380952381	0.833333333333333	0.754504545005353	0.682646969290558	0.814385858101016	0.754504545005353	0.738095238095238	0.850314645958414
