g__Lachnella	Agromyces	Arthrobacter	Solirubrobacter	Blastococcus	Gaiella	Terrabacter	Saccharibacteria_genera_incertae_sedis	g__Mortierella	Ideonella	Marmoricola	Dissulfuribacter	Gemmatimonas	Haliangium	Knoellia	Saccharothrix	Asticcacaulis	Sporosarcina	Sporichthya	Ilumatobacter	Nitrospira	Cellvibrio	Catellatospora	Peredibacter	Rhodoligotrophos	Neptunomonas	Pseudolabrys	Ramlibacter	Ohtaekwangia	Oscillochloris	Nannocystis	Methyloceanibacter	Streptosporangium	Amaricoccus	Povalibacter	Labilithrix	Adhaeribacter	Uliginosibacterium	Nitrincola	Lautropia	Tumebacillus	Clavibacter	Ardenticatena	Gp22	Rubrobacter	Luteivirga	Nakamurella	Acidiphilium	Armatimonadetes_gp5
g__Lachnella	1	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.880952380952381	0.928571428571429	0.976190476190476	0.952380952380953	0.928571428571429	0.928571428571429	0.976190476190476	0.928571428571429	0.904761904761905	0.952380952380953	0.785714285714286	0.880952380952381	0.785714285714286	0.904761904761905	0.857142857142857	0.952380952380953	0.857142857142857	0.738095238095238	0.904761904761905	0.976190476190476	0.785714285714286	0.833333333333333	0.785714285714286	0.838338383339281	0.886243433815812	0.833333333333333	0.904761904761905	0.761904761904762	0.833333333333333	0.738095238095238	0.904761904761905	0.826362120720149	0.928571428571429	0.802409595481884	0.761904761904762	0.952380952380953	0.880952380952381	0.857142857142857	0.952380952380953	0.857142857142857	0.80952380952381	0.904761904761905	0.886243433815812	0.898219696434944
Agromyces	0.904761904761905	1	0.928571428571429	1	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.976190476190476	0.880952380952381	0.833333333333333	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.833333333333333	0.904761904761905	0.952380952380953	0.874267171196679	0.898219696434944	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.886243433815812	0.833333333333333	0.910195959054077	0.904761904761905	0.976190476190476	0.80952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.898219696434944	0.922172221673209
Arthrobacter	0.952380952380953	0.928571428571429	1	0.928571428571429	0.880952380952381	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.928571428571429	0.952380952380953	0.857142857142857	0.904761904761905	0.80952380952381	0.904761904761905	0.904761904761905	0.952380952380953	0.857142857142857	0.833333333333333	0.880952380952381	0.976190476190476	0.80952380952381	0.928571428571429	0.880952380952381	0.826362120720149	0.898219696434944	0.80952380952381	0.928571428571429	0.833333333333333	0.80952380952381	0.833333333333333	0.904761904761905	0.814385858101016	0.833333333333333	0.790433332862751	0.833333333333333	0.952380952380953	0.928571428571429	0.904761904761905	0.928571428571429	0.833333333333333	0.857142857142857	0.904761904761905	0.898219696434944	0.922172221673209
Solirubrobacter	0.904761904761905	1	0.928571428571429	1	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.976190476190476	0.880952380952381	0.833333333333333	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.833333333333333	0.904761904761905	0.952380952380953	0.874267171196679	0.898219696434944	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.886243433815812	0.833333333333333	0.910195959054077	0.904761904761905	0.976190476190476	0.80952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.898219696434944	0.922172221673209
Blastococcus	0.904761904761905	0.952380952380953	0.880952380952381	0.952380952380953	1	0.904761904761905	0.904761904761905	0.928571428571429	0.976190476190476	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.952380952380953	0.976190476190476	0.857142857142857	0.761904761904762	0.952380952380953	0.880952380952381	0.80952380952381	0.976190476190476	0.976190476190476	0.833333333333333	1	0.928571428571429	0.833333333333333	0.761904761904762	0.857142857142857	0.874267171196679	0.850314645958414	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.833333333333333	0.880952380952381	0.97007727214974	0.904761904761905	0.946124746911475	0.904761904761905	0.976190476190476	0.785714285714286	0.80952380952381	0.904761904761905	0.976190476190476	0.904761904761905	0.952380952380953	0.850314645958414	0.934148484292342
Gaiella	0.880952380952381	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	1	0.952380952380953	0.928571428571429	0.952380952380953	0.952380952380953	0.952380952380953	0.928571428571429	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.80952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.904761904761905	0.928571428571429	0.80952380952381	0.928571428571429	0.976190476190476	0.814385858101016	0.862290908577547	0.857142857142857	0.976190476190476	0.928571428571429	0.857142857142857	0.928571428571429	0.880952380952381	0.850314645958414	0.761904761904762	0.850314645958414	0.928571428571429	0.952380952380953	0.833333333333333	0.904761904761905	0.857142857142857	0.857142857142857	0.952380952380953	0.904761904761905	0.862290908577547	0.922172221673209
Terrabacter	0.928571428571429	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	1	0.976190476190476	0.952380952380953	1	1	0.976190476190476	1	0.976190476190476	0.952380952380953	0.80952380952381	0.904761904761905	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.976190476190476	0.785714285714286	0.952380952380953	0.904761904761905	0.910195959054077	0.958101009530607	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.833333333333333	0.976190476190476	0.802409595481884	0.857142857142857	0.874267171196679	0.833333333333333	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.833333333333333	0.928571428571429	0.880952380952381	0.958101009530607	0.874267171196679
Saccharibacteria_genera_incertae_sedis	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.928571428571429	0.928571428571429	0.976190476190476	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.976190476190476	0.952380952380953	0.976190476190476	0.833333333333333	0.928571428571429	0.833333333333333	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.80952380952381	0.928571428571429	1	0.833333333333333	0.904761904761905	0.857142857142857	0.886243433815812	0.934148484292342	0.880952380952381	0.952380952380953	0.80952380952381	0.880952380952381	0.80952380952381	0.952380952380953	0.850314645958414	0.904761904761905	0.850314645958414	0.80952380952381	0.976190476190476	0.904761904761905	0.928571428571429	0.976190476190476	0.880952380952381	0.880952380952381	0.928571428571429	0.934148484292342	0.922172221673209
g__Mortierella	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	1	0.904761904761905	0.857142857142857	0.904761904761905	0.904761904761905	0.880952380952381	1	0.952380952380953	0.880952380952381	0.976190476190476	0.976190476190476	0.880952380952381	0.857142857142857	0.904761904761905	0.850314645958414	0.874267171196679	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.934148484292342	0.880952380952381	0.886243433815812	0.880952380952381	1	0.880952380952381	0.880952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.874267171196679	0.97007727214974
Ideonella	0.928571428571429	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	1	0.976190476190476	0.952380952380953	1	1	0.976190476190476	1	0.976190476190476	0.952380952380953	0.80952380952381	0.904761904761905	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.976190476190476	0.785714285714286	0.952380952380953	0.904761904761905	0.910195959054077	0.958101009530607	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.833333333333333	0.976190476190476	0.802409595481884	0.857142857142857	0.874267171196679	0.833333333333333	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.833333333333333	0.928571428571429	0.880952380952381	0.958101009530607	0.874267171196679
