Streptomyces	Actinoplanes	Devosia	Mesorhizobium	Steroidobacter	Umezawaea	Shinella	Lysobacter	Bradyrhizobium	Amycolatopsis	Galbitalea	Micromonospora	Dactylosporangium	Rudaibacter	Nitrobacter	Chitinophaga	Polaromonas	Chryseolinea	Dongia	Aquihabitans	Rhizocola	Kinneretia	Arenimonas	Curtobacterium	Aquimonas	Pseudolabrys	Chitinimonas	Parachlamydia	Thiomonas	Halobacteriovorax	Sanguibacter	Sulfurisoma
Rhizocola	0.904761904761905	0.928571428571429	0.857142857142857	0.857142857142857	1	0.976190476190476	0.857142857142857	0.857142857142857	0.976190476190476	0.952380952380953	0.952380952380953	0.928571428571429	0.976190476190476	0.928571428571429	0.833333333333333	0.761904761904762	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.952380952380953	0.857142857142857	0.857142857142857	0.976190476190476	0.952380952380953	0.857142857142857	1	0.952380952380953	0.922172221673209	0.922172221673209
Kinneretia	0.857142857142857	0.928571428571429	0.928571428571429	0.785714285714286	0.904761904761905	0.833333333333333	0.928571428571429	0.976190476190476	0.880952380952381	0.880952380952381	0.857142857142857	0.880952380952381	0.952380952380953	0.880952380952381	0.857142857142857	0.952380952380953	0.952380952380953	0.857142857142857	0.880952380952381	0.761904761904762	0.904761904761905	1	0.857142857142857	0.904761904761905	0.785714285714286	0.880952380952381	0.785714285714286	0.80952380952381	0.904761904761905	0.880952380952381	0.754504545005353	0.754504545005353
Arenimonas	0.904761904761905	0.880952380952381	0.714285714285714	0.690476190476191	0.952380952380953	0.904761904761905	0.714285714285714	0.833333333333333	0.928571428571429	0.857142857142857	1	0.952380952380953	0.904761904761905	0.952380952380953	0.666666666666667	0.738095238095238	0.904761904761905	1	0.928571428571429	0.928571428571429	0.952380952380953	0.857142857142857	1	0.761904761904762	0.952380952380953	0.928571428571429	0.928571428571429	0.80952380952381	0.952380952380953	0.857142857142857	0.898219696434944	0.898219696434944
Curtobacterium	0.80952380952381	0.880952380952381	0.880952380952381	0.833333333333333	0.857142857142857	0.785714285714286	0.880952380952381	0.880952380952381	0.833333333333333	0.833333333333333	0.761904761904762	0.738095238095238	0.904761904761905	0.738095238095238	0.80952380952381	0.80952380952381	0.857142857142857	0.761904761904762	0.833333333333333	0.714285714285714	0.857142857142857	0.904761904761905	0.761904761904762	1	0.642857142857143	0.833333333333333	0.833333333333333	0.714285714285714	0.857142857142857	0.833333333333333	0.658694444052292	0.658694444052292
Aquimonas	0.904761904761905	0.857142857142857	0.619047619047619	0.619047619047619	0.857142857142857	0.833333333333333	0.619047619047619	0.80952380952381	0.785714285714286	0.80952380952381	0.952380952380953	0.928571428571429	0.833333333333333	0.928571428571429	0.595238095238095	0.738095238095238	0.904761904761905	0.952380952380953	0.785714285714286	0.880952380952381	0.857142857142857	0.785714285714286	0.952380952380953	0.642857142857143	1	0.785714285714286	0.833333333333333	0.857142857142857	0.857142857142857	0.80952380952381	0.886243433815812	0.886243433815812
Pseudolabrys	0.833333333333333	0.857142857142857	0.833333333333333	0.785714285714286	0.976190476190476	0.928571428571429	0.833333333333333	0.80952380952381	1	0.880952380952381	0.928571428571429	0.880952380952381	0.928571428571429	0.880952380952381	0.785714285714286	0.714285714285714	0.833333333333333	0.928571428571429	1	0.904761904761905	0.976190476190476	0.880952380952381	0.928571428571429	0.833333333333333	0.785714285714286	1	0.928571428571429	0.738095238095238	0.976190476190476	0.880952380952381	0.850314645958414	0.850314645958414
Chitinimonas	0.904761904761905	0.880952380952381	0.738095238095238	0.80952380952381	0.952380952380953	0.928571428571429	0.738095238095238	0.761904761904762	0.928571428571429	0.880952380952381	0.928571428571429	0.833333333333333	0.904761904761905	0.833333333333333	0.714285714285714	0.619047619047619	0.833333333333333	0.928571428571429	0.928571428571429	0.952380952380953	0.952380952380953	0.785714285714286	0.928571428571429	0.833333333333333	0.833333333333333	0.928571428571429	1	0.785714285714286	0.952380952380953	0.880952380952381	0.874267171196679	0.874267171196679
Parachlamydia	0.904761904761905	0.928571428571429	0.80952380952381	0.880952380952381	0.857142857142857	0.904761904761905	0.80952380952381	0.833333333333333	0.738095238095238	0.952380952380953	0.80952380952381	0.857142857142857	0.904761904761905	0.857142857142857	0.857142857142857	0.785714285714286	0.904761904761905	0.80952380952381	0.738095238095238	0.880952380952381	0.857142857142857	0.80952380952381	0.80952380952381	0.714285714285714	0.857142857142857	0.738095238095238	0.785714285714286	1	0.857142857142857	0.952380952380953	0.922172221673209	0.922172221673209
Thiomonas	0.904761904761905	0.928571428571429	0.857142857142857	0.857142857142857	1	0.976190476190476	0.857142857142857	0.857142857142857	0.976190476190476	0.952380952380953	0.952380952380953	0.928571428571429	0.976190476190476	0.928571428571429	0.833333333333333	0.761904761904762	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.952380952380953	0.857142857142857	0.857142857142857	0.976190476190476	0.952380952380953	0.857142857142857	1	0.952380952380953	0.922172221673209	0.922172221673209
Halobacteriovorax	0.904761904761905	0.952380952380953	0.904761904761905	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.857142857142857	0.880952380952381	1	0.857142857142857	0.880952380952381	0.976190476190476	0.880952380952381	0.928571428571429	0.785714285714286	0.904761904761905	0.857142857142857	0.880952380952381	0.928571428571429	0.952380952380953	0.880952380952381	0.857142857142857	0.833333333333333	0.80952380952381	0.880952380952381	0.880952380952381	0.952380952380953	0.952380952380953	1	0.934148484292342	0.934148484292342
Sanguibacter	0.850314645958414	0.850314645958414	0.718575757147955	0.826362120720149	0.922172221673209	0.97007727214974	0.718575757147955	0.718575757147955	0.850314645958414	0.934148484292342	0.898219696434944	0.922172221673209	0.886243433815812	0.922172221673209	0.766480807624486	0.634741918814027	0.826362120720149	0.898219696434944	0.850314645958414	0.97007727214974	0.922172221673209	0.754504545005353	0.898219696434944	0.658694444052292	0.886243433815812	0.850314645958414	0.874267171196679	0.922172221673209	0.922172221673209	0.934148484292342	1	1
Sulfurisoma	0.850314645958414	0.850314645958414	0.718575757147955	0.826362120720149	0.922172221673209	0.97007727214974	0.718575757147955	0.718575757147955	0.850314645958414	0.934148484292342	0.898219696434944	0.922172221673209	0.886243433815812	0.922172221673209	0.766480807624486	0.634741918814027	0.826362120720149	0.898219696434944	0.850314645958414	0.97007727214974	0.922172221673209	0.754504545005353	0.898219696434944	0.658694444052292	0.886243433815812	0.850314645958414	0.874267171196679	0.922172221673209	0.922172221673209	0.934148484292342	1	1
