Steroidobacter	Bradyrhizobium	Conexibacter	Terrabacter	Hyphomicrobium	Ideonella	Marmoricola	Geobacter	Gemmatimonas	Dongia	Rhizocola	g__Apodus	Ilumatobacter	Pseudolabrys	Ramlibacter	Chitinimonas	Oscillochloris	Methyloceanibacter	Labilithrix	Variibacter	Thiomonas	Halobacteriovorax	Tumebacillus	Ardenticatena	Gp22	Chelativorans	Luteivirga	Roseiflexus	Sanguibacter	Acidiphilium	Sulfurisoma	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Thiomonas	1	0.976190476190476	0.928571428571429	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	1	0.946124746911475	0.952380952380953	0.976190476190476	0.928571428571429	0.952380952380953	0.814385858101016	0.880952380952381	0.833333333333333	0.928571428571429	1	0.952380952380953	0.80952380952381	0.952380952380953	0.761904761904762	0.857142857142857	0.904761904761905	0.862290908577547	0.922172221673209	0.814385858101016	0.922172221673209	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
Halobacteriovorax	0.952380952380953	0.880952380952381	0.833333333333333	0.785714285714286	0.833333333333333	0.785714285714286	0.785714285714286	0.833333333333333	0.785714285714286	0.880952380952381	0.952380952380953	0.838338383339281	0.833333333333333	0.880952380952381	0.928571428571429	0.880952380952381	0.670670706671425	0.80952380952381	0.690476190476191	0.833333333333333	0.952380952380953	1	0.714285714285714	0.833333333333333	0.595238095238095	0.738095238095238	0.880952380952381	0.718575757147955	0.934148484292342	0.670670706671425	0.934148484292342	0.670670706671425	0.718575757147955	0.718575757147955	0.718575757147955
Tumebacillus	0.80952380952381	0.857142857142857	0.928571428571429	0.952380952380953	0.80952380952381	0.952380952380953	0.952380952380953	0.880952380952381	0.952380952380953	0.857142857142857	0.80952380952381	0.826362120720149	0.880952380952381	0.857142857142857	0.904761904761905	0.785714285714286	0.874267171196679	0.976190476190476	0.904761904761905	0.785714285714286	0.80952380952381	0.714285714285714	1	0.880952380952381	0.928571428571429	0.642857142857143	0.928571428571429	0.802409595481884	0.826362120720149	0.874267171196679	0.826362120720149	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Ardenticatena	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.952380952380953	0.97007727214974	1	0.976190476190476	0.880952380952381	0.952380952380953	0.934148484292342	0.928571428571429	0.952380952380953	0.928571428571429	0.952380952380953	0.833333333333333	0.880952380952381	1	0.904761904761905	0.857142857142857	0.904761904761905	0.958101009530607	0.850314645958414	0.934148484292342	0.850314645958414	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Gp22	0.761904761904762	0.857142857142857	0.904761904761905	0.952380952380953	0.833333333333333	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.857142857142857	0.761904761904762	0.838338383339281	0.904761904761905	0.857142857142857	0.761904761904762	0.761904761904762	0.97007727214974	0.904761904761905	0.976190476190476	0.833333333333333	0.761904761904762	0.595238095238095	0.928571428571429	0.904761904761905	1	0.714285714285714	0.80952380952381	0.922172221673209	0.670670706671425	0.97007727214974	0.670670706671425	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Chelativorans	0.857142857142857	0.904761904761905	0.857142857142857	0.80952380952381	0.880952380952381	0.80952380952381	0.80952380952381	0.857142857142857	0.80952380952381	0.904761904761905	0.857142857142857	0.934148484292342	0.857142857142857	0.904761904761905	0.714285714285714	0.857142857142857	0.802409595481884	0.714285714285714	0.785714285714286	0.928571428571429	0.857142857142857	0.738095238095238	0.642857142857143	0.857142857142857	0.714285714285714	1	0.666666666666667	0.850314645958414	0.622765656194895	0.802409595481884	0.622765656194895	0.826362120720149	0.850314645958414	0.850314645958414	0.850314645958414
Luteivirga	0.904761904761905	0.880952380952381	0.904761904761905	0.928571428571429	0.80952380952381	0.928571428571429	0.928571428571429	0.904761904761905	0.928571428571429	0.880952380952381	0.904761904761905	0.874267171196679	0.904761904761905	0.880952380952381	0.976190476190476	0.904761904761905	0.814385858101016	0.976190476190476	0.857142857142857	0.785714285714286	0.904761904761905	0.880952380952381	0.928571428571429	0.904761904761905	0.80952380952381	0.666666666666667	1	0.790433332862751	0.946124746911475	0.814385858101016	0.946124746911475	0.718575757147955	0.790433332862751	0.790433332862751	0.790433332862751
Roseiflexus	0.862290908577547	0.922172221673209	0.898219696434944	0.934148484292342	0.898219696434944	0.934148484292342	0.934148484292342	0.958101009530607	0.934148484292342	0.922172221673209	0.862290908577547	0.921686746987952	0.958101009530607	0.922172221673209	0.754504545005353	0.874267171196679	0.975903614457831	0.850314645958414	0.97007727214974	0.922172221673209	0.862290908577547	0.718575757147955	0.802409595481884	0.958101009530607	0.922172221673209	0.850314645958414	0.790433332862751	1	0.692771084337349	0.975903614457831	0.692771084337349	0.975903614457831	1	1	1
Sanguibacter	0.922172221673209	0.850314645958414	0.826362120720149	0.826362120720149	0.826362120720149	0.826362120720149	0.826362120720149	0.850314645958414	0.826362120720149	0.850314645958414	0.922172221673209	0.807228915662651	0.850314645958414	0.850314645958414	0.946124746911475	0.874267171196679	0.668674698795181	0.874267171196679	0.718575757147955	0.742528282386221	0.922172221673209	0.934148484292342	0.826362120720149	0.850314645958414	0.670670706671425	0.622765656194895	0.946124746911475	0.692771084337349	1	0.668674698795181	1	0.668674698795181	0.692771084337349	0.692771084337349	0.692771084337349
Acidiphilium	0.814385858101016	0.898219696434944	0.922172221673209	0.958101009530607	0.850314645958414	0.958101009530607	0.958101009530607	0.934148484292342	0.958101009530607	0.898219696434944	0.814385858101016	0.897590361445783	0.934148484292342	0.898219696434944	0.778457070243618	0.826362120720149	1	0.898219696434944	0.994029797388005	0.898219696434944	0.814385858101016	0.670670706671425	0.874267171196679	0.934148484292342	0.97007727214974	0.802409595481884	0.814385858101016	0.975903614457831	0.668674698795181	1	0.668674698795181	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Sulfurisoma	0.922172221673209	0.850314645958414	0.826362120720149	0.826362120720149	0.826362120720149	0.826362120720149	0.826362120720149	0.850314645958414	0.826362120720149	0.850314645958414	0.922172221673209	0.807228915662651	0.850314645958414	0.850314645958414	0.946124746911475	0.874267171196679	0.668674698795181	0.874267171196679	0.718575757147955	0.742528282386221	0.922172221673209	0.934148484292342	0.826362120720149	0.850314645958414	0.670670706671425	0.622765656194895	0.946124746911475	0.692771084337349	1	0.668674698795181	1	0.668674698795181	0.692771084337349	0.692771084337349	0.692771084337349
Aciditerrimonas	0.838338383339281	0.898219696434944	0.850314645958414	0.886243433815812	0.922172221673209	0.886243433815812	0.886243433815812	0.934148484292342	0.886243433815812	0.898219696434944	0.838338383339281	0.873493975903614	0.934148484292342	0.898219696434944	0.682646969290558	0.826362120720149	0.927710843373494	0.778457070243618	0.922172221673209	0.898219696434944	0.838338383339281	0.670670706671425	0.754504545005353	0.934148484292342	0.898219696434944	0.826362120720149	0.718575757147955	0.975903614457831	0.668674698795181	0.927710843373494	0.668674698795181	1	0.975903614457831	0.975903614457831	0.975903614457831
Skermanella	0.862290908577547	0.922172221673209	0.898219696434944	0.934148484292342	0.898219696434944	0.934148484292342	0.934148484292342	0.958101009530607	0.934148484292342	0.922172221673209	0.862290908577547	0.921686746987952	0.958101009530607	0.922172221673209	0.754504545005353	0.874267171196679	0.975903614457831	0.850314645958414	0.97007727214974	0.922172221673209	0.862290908577547	0.718575757147955	0.802409595481884	0.958101009530607	0.922172221673209	0.850314645958414	0.790433332862751	1	0.692771084337349	0.975903614457831	0.692771084337349	0.975903614457831	1	1	1
Sneathiella	0.862290908577547	0.922172221673209	0.898219696434944	0.934148484292342	0.898219696434944	0.934148484292342	0.934148484292342	0.958101009530607	0.934148484292342	0.922172221673209	0.862290908577547	0.921686746987952	0.958101009530607	0.922172221673209	0.754504545005353	0.874267171196679	0.975903614457831	0.850314645958414	0.97007727214974	0.922172221673209	0.862290908577547	0.718575757147955	0.802409595481884	0.958101009530607	0.922172221673209	0.850314645958414	0.790433332862751	1	0.692771084337349	0.975903614457831	0.692771084337349	0.975903614457831	1	1	1
Terrimonas	0.862290908577547	0.922172221673209	0.898219696434944	0.934148484292342	0.898219696434944	0.934148484292342	0.934148484292342	0.958101009530607	0.934148484292342	0.922172221673209	0.862290908577547	0.921686746987952	0.958101009530607	0.922172221673209	0.754504545005353	0.874267171196679	0.975903614457831	0.850314645958414	0.97007727214974	0.922172221673209	0.862290908577547	0.718575757147955	0.802409595481884	0.958101009530607	0.922172221673209	0.850314645958414	0.790433332862751	1	0.692771084337349	0.975903614457831	0.692771084337349	0.975903614457831	1	1	1
