Aeromicrobium	Steroidobacter	Umezawaea	Solirubrobacter	Cellulomonas	Bradyrhizobium	Amycolatopsis	Galbitalea	Gaiella	Conexibacter	Micromonospora	Terrabacter	Dactylosporangium	Rudaibacter	Phenylobacterium	Nitrobacter	Polaromonas	Chryseolinea	Hyphomicrobium	Ideonella	Marmoricola	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Haliangium	Rhizocola	g__Apodus	Saccharothrix	Ilumatobacter	Arenimonas	Catellatospora	Panacagrimonas	Pseudolabrys	Ramlibacter	Chitinimonas	Methyloceanibacter	Povalibacter	Variibacter	Parachlamydia	Thiomonas	Halobacteriovorax	Ardenticatena	Luteivirga	Sanguibacter	Tahibacter	Sulfurisoma	Polyangium
Chitinimonas	0.904761904761905	0.952380952380953	0.928571428571429	0.880952380952381	0.904761904761905	0.928571428571429	0.880952380952381	0.928571428571429	0.857142857142857	0.880952380952381	0.833333333333333	0.904761904761905	0.904761904761905	0.833333333333333	0.785714285714286	0.714285714285714	0.833333333333333	0.928571428571429	0.880952380952381	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.952380952380953	0.880952380952381	0.952380952380953	0.97007727214974	0.714285714285714	0.952380952380953	0.928571428571429	0.80952380952381	0.738095238095238	0.928571428571429	0.880952380952381	1	0.880952380952381	0.80952380952381	0.857142857142857	0.785714285714286	0.952380952380953	0.880952380952381	0.952380952380953	0.904761904761905	0.874267171196679	0.826362120720149	0.874267171196679	0.857142857142857
Methyloceanibacter	0.976190476190476	0.880952380952381	0.904761904761905	1	0.976190476190476	0.904761904761905	0.80952380952381	0.833333333333333	0.976190476190476	0.952380952380953	0.761904761904762	0.976190476190476	0.785714285714286	0.761904761904762	0.904761904761905	0.690476190476191	0.642857142857143	0.833333333333333	0.833333333333333	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	1	0.880952380952381	0.898219696434944	0.880952380952381	0.928571428571429	0.833333333333333	0.904761904761905	0.80952380952381	0.904761904761905	0.952380952380953	0.880952380952381	1	0.904761904761905	0.833333333333333	0.690476190476191	0.880952380952381	0.80952380952381	0.928571428571429	0.976190476190476	0.874267171196679	0.802409595481884	0.874267171196679	0.833333333333333
Povalibacter	0.952380952380953	0.880952380952381	0.952380952380953	0.904761904761905	0.952380952380953	0.833333333333333	0.904761904761905	0.80952380952381	0.928571428571429	0.857142857142857	0.857142857142857	0.833333333333333	0.833333333333333	0.857142857142857	0.952380952380953	0.785714285714286	0.714285714285714	0.80952380952381	0.785714285714286	0.833333333333333	0.833333333333333	0.80952380952381	0.833333333333333	0.833333333333333	0.928571428571429	0.904761904761905	0.880952380952381	0.778457070243618	0.976190476190476	0.80952380952381	0.80952380952381	1	0.904761904761905	0.833333333333333	0.976190476190476	0.80952380952381	0.904761904761905	1	0.738095238095238	0.857142857142857	0.880952380952381	0.904761904761905	0.80952380952381	0.952380952380953	0.97007727214974	0.946124746911475	0.97007727214974	0.80952380952381
Variibacter	0.785714285714286	0.928571428571429	0.857142857142857	0.833333333333333	0.785714285714286	0.976190476190476	0.833333333333333	0.857142857142857	0.880952380952381	0.952380952380953	0.80952380952381	0.904761904761905	0.904761904761905	0.80952380952381	0.785714285714286	0.80952380952381	0.80952380952381	0.857142857142857	0.952380952380953	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.976190476190476	0.80952380952381	0.833333333333333	0.928571428571429	0.934148484292342	0.690476190476191	0.928571428571429	0.857142857142857	0.738095238095238	0.761904761904762	0.976190476190476	0.833333333333333	0.857142857142857	0.833333333333333	0.738095238095238	1	0.666666666666667	0.928571428571429	0.833333333333333	0.928571428571429	0.785714285714286	0.742528282386221	0.622765656194895	0.742528282386221	0.642857142857143
Parachlamydia	0.80952380952381	0.857142857142857	0.904761904761905	0.690476190476191	0.80952380952381	0.738095238095238	0.952380952380953	0.80952380952381	0.714285714285714	0.666666666666667	0.857142857142857	0.642857142857143	0.904761904761905	0.857142857142857	0.80952380952381	0.857142857142857	0.904761904761905	0.80952380952381	0.714285714285714	0.642857142857143	0.642857142857143	0.714285714285714	0.642857142857143	0.738095238095238	0.880952380952381	0.690476190476191	0.857142857142857	0.682646969290558	0.761904761904762	0.714285714285714	0.80952380952381	0.857142857142857	0.857142857142857	0.738095238095238	0.833333333333333	0.785714285714286	0.690476190476191	0.857142857142857	0.666666666666667	1	0.857142857142857	0.952380952380953	0.714285714285714	0.80952380952381	0.922172221673209	0.898219696434944	0.922172221673209	0.857142857142857
Thiomonas	0.904761904761905	1	0.976190476190476	0.880952380952381	0.904761904761905	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.928571428571429	0.928571428571429	0.904761904761905	0.976190476190476	0.928571428571429	0.857142857142857	0.833333333333333	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	1	0.946124746911475	0.80952380952381	0.952380952380953	0.952380952380953	0.880952380952381	0.833333333333333	0.976190476190476	0.928571428571429	0.952380952380953	0.880952380952381	0.880952380952381	0.928571428571429	0.857142857142857	1	0.952380952380953	0.952380952380953	0.904761904761905	0.922172221673209	0.850314645958414	0.922172221673209	0.80952380952381
Halobacteriovorax	0.880952380952381	0.952380952380953	0.976190476190476	0.80952380952381	0.880952380952381	0.880952380952381	1	0.857142857142857	0.857142857142857	0.833333333333333	0.880952380952381	0.785714285714286	0.976190476190476	0.880952380952381	0.904761904761905	0.928571428571429	0.904761904761905	0.857142857142857	0.833333333333333	0.785714285714286	0.785714285714286	0.833333333333333	0.785714285714286	0.880952380952381	0.928571428571429	0.80952380952381	0.952380952380953	0.838338383339281	0.80952380952381	0.833333333333333	0.857142857142857	0.904761904761905	0.928571428571429	0.880952380952381	0.928571428571429	0.880952380952381	0.80952380952381	0.904761904761905	0.833333333333333	0.952380952380953	0.952380952380953	1	0.833333333333333	0.880952380952381	0.934148484292342	0.886243433815812	0.934148484292342	0.833333333333333
Ardenticatena	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	0.904761904761905	0.952380952380953	0.857142857142857	0.976190476190476	0.880952380952381	0.857142857142857	0.785714285714286	0.690476190476191	0.80952380952381	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.928571428571429	0.928571428571429	0.952380952380953	0.97007727214974	0.761904761904762	1	0.952380952380953	0.80952380952381	0.714285714285714	0.976190476190476	0.880952380952381	0.952380952380953	0.928571428571429	0.80952380952381	0.928571428571429	0.714285714285714	0.952380952380953	0.833333333333333	1	0.904761904761905	0.850314645958414	0.754504545005353	0.850314645958414	0.80952380952381
Luteivirga	1	0.904761904761905	0.952380952380953	0.976190476190476	1	0.880952380952381	0.880952380952381	0.857142857142857	0.952380952380953	0.904761904761905	0.80952380952381	0.928571428571429	0.833333333333333	0.80952380952381	0.928571428571429	0.738095238095238	0.714285714285714	0.857142857142857	0.80952380952381	0.928571428571429	0.928571428571429	0.904761904761905	0.928571428571429	0.880952380952381	0.976190476190476	0.976190476190476	0.904761904761905	0.874267171196679	0.904761904761905	0.904761904761905	0.857142857142857	0.952380952380953	0.857142857142857	0.880952380952381	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.785714285714286	0.80952380952381	0.904761904761905	0.880952380952381	0.904761904761905	1	0.946124746911475	0.898219696434944	0.946124746911475	0.904761904761905
Sanguibacter	0.946124746911475	0.922172221673209	0.97007727214974	0.874267171196679	0.946124746911475	0.850314645958414	0.934148484292342	0.898219696434944	0.874267171196679	0.826362120720149	0.922172221673209	0.826362120720149	0.886243433815812	0.922172221673209	0.886243433815812	0.766480807624486	0.826362120720149	0.898219696434944	0.826362120720149	0.826362120720149	0.826362120720149	0.850314645958414	0.826362120720149	0.850314645958414	0.97007727214974	0.874267171196679	0.922172221673209	0.807228915662651	0.922172221673209	0.850314645958414	0.898219696434944	0.97007727214974	0.850314645958414	0.850314645958414	0.946124746911475	0.874267171196679	0.874267171196679	0.97007727214974	0.742528282386221	0.922172221673209	0.922172221673209	0.934148484292342	0.850314645958414	0.946124746911475	1	0.975903614457831	1	0.874267171196679
Tahibacter	0.898219696434944	0.850314645958414	0.922172221673209	0.802409595481884	0.898219696434944	0.754504545005353	0.886243433815812	0.826362120720149	0.802409595481884	0.730552019767088	0.874267171196679	0.730552019767088	0.814385858101016	0.874267171196679	0.838338383339281	0.69462323190969	0.754504545005353	0.826362120720149	0.730552019767088	0.730552019767088	0.730552019767088	0.754504545005353	0.730552019767088	0.754504545005353	0.922172221673209	0.802409595481884	0.850314645958414	0.734939759036145	0.898219696434944	0.754504545005353	0.826362120720149	0.946124746911475	0.802409595481884	0.754504545005353	0.898219696434944	0.826362120720149	0.802409595481884	0.946124746911475	0.622765656194895	0.898219696434944	0.850314645958414	0.886243433815812	0.754504545005353	0.898219696434944	0.975903614457831	1	0.975903614457831	0.826362120720149
Sulfurisoma	0.946124746911475	0.922172221673209	0.97007727214974	0.874267171196679	0.946124746911475	0.850314645958414	0.934148484292342	0.898219696434944	0.874267171196679	0.826362120720149	0.922172221673209	0.826362120720149	0.886243433815812	0.922172221673209	0.886243433815812	0.766480807624486	0.826362120720149	0.898219696434944	0.826362120720149	0.826362120720149	0.826362120720149	0.850314645958414	0.826362120720149	0.850314645958414	0.97007727214974	0.874267171196679	0.922172221673209	0.807228915662651	0.922172221673209	0.850314645958414	0.898219696434944	0.97007727214974	0.850314645958414	0.850314645958414	0.946124746911475	0.874267171196679	0.874267171196679	0.97007727214974	0.742528282386221	0.922172221673209	0.922172221673209	0.934148484292342	0.850314645958414	0.946124746911475	1	0.975903614457831	1	0.874267171196679
Polyangium	0.904761904761905	0.80952380952381	0.857142857142857	0.833333333333333	0.904761904761905	0.738095238095238	0.833333333333333	0.80952380952381	0.761904761904762	0.714285714285714	0.714285714285714	0.785714285714286	0.785714285714286	0.714285714285714	0.785714285714286	0.690476190476191	0.761904761904762	0.80952380952381	0.666666666666667	0.785714285714286	0.785714285714286	0.80952380952381	0.785714285714286	0.738095238095238	0.928571428571429	0.833333333333333	0.80952380952381	0.754504545005353	0.714285714285714	0.80952380952381	0.80952380952381	0.80952380952381	0.761904761904762	0.738095238095238	0.833333333333333	0.857142857142857	0.833333333333333	0.80952380952381	0.642857142857143	0.857142857142857	0.80952380952381	0.833333333333333	0.80952380952381	0.904761904761905	0.874267171196679	0.826362120720149	0.874267171196679	1
