TAD2	TAD3	TAD4	TAD6	TAD7	TAD9	TAD10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH10	species	ID
bacOTU_1	0.426013442718411	10.2569939427132	0.265116132061991	0.269473402447365	9.44078315972197	1e-04	1e-04	1e-04	0.189627559913215	1e-04	0.0497398908863573	1e-04	1e-04	1e-04	1e-04	1e-04	bac	bacOTU_1
bacOTU_8	109.459854778632	20.7368638407029	6.75801136758077	21.8193455982366	35.6649030478385	20.8487638056763	28.448873715609	46.0406497154443	57.0478955338778	6.82547712900336	6.20508636079466	9.86338344997455	8.32169538567986	107.54801983709	27.3273771042235	78.3956151221029	bac	bacOTU_8
bacOTU_5	213.382734801924	53.0683773557772	70.8919153265826	167.550356322261	131.959871277003	32.1814399822058	21.6527777724357	23.780010900373	20.6586040305405	23.5524576986736	21.2459732993609	1.15739192479701	2.5490571451632	32.402357899636	7.98807330738839	6.93071800354823	bac	bacOTU_5
bacOTU_3	831.809053629057	186.185022655773	208.302779800725	355.034244425627	216.296640837186	117.2197657954	72.8605704605319	17.7689778672231	38.0951395425563	18.5535899422204	8.73672079599888	16.1495827687583	16.8681987547565	93.9896282336959	25.1411949358856	22.8370544051343	bac	bacOTU_3
bacOTU_10	97.1083649397978	8.91913821105499	17.3586566500604	14.5462637321577	73.8472216049363	11.938339025657	11.0635120005146	12.8148297629788	28.4292339869823	1.63434522807123	0.843978145068074	1.23629819239681	2.17421050616861	57.6807151263024	4.62471612533012	19.3149370590688	bac	bacOTU_10
bacOTU_28	48.9801459126173	12.7097294507534	16.5636082538744	6.1956882562894	41.1195199845668	6.57478236195602	8.5347321146827	15.853373933582	28.8082891068087	3.74925081733987	2.97849345318144	1.4730169951962	2.5490571451632	41.1348813052117	14.546619812402	14.6566528271758	bac	bacOTU_28
bacOTU_9	90.7196632990216	42.5885074577876	23.5865357535172	133.339934211446	33.3571804976843	20.3297099349956	64.8000845744427	14.9285996207897	79.9807302833769	66.2350977730044	11.9633137036121	4.52405934238833	4.83562164303019	48.0289787306661	31.0270700044876	12.8387858098516	bac	bacOTU_9
bacOTU_4	86.4605288718375	59.0887281482393	38.8249633470817	89.97081641742	41.1195199845668	27.2504282107388	75.0732528606348	21.996517582845	118.265297385846	188.707357806107	21.2459732993609	3.70869457719043	10.7207138752452	79.0524171452113	48.0120237738818	27.1544885712791	bac	bacOTU_4
bacOTU_13	36.202742631065	14.270561137688	10.2032210843866	37.7123763426311	54.7560623263874	4.67158483612665	6.48009845744427	7.7946263506778	26.3444308279369	6.05642055108749	0.695058472409002	1.05218356799729	1.2745785725816	29.8745221769694	4.03612861846993	7.49880144646202	bac	bacOTU_13
bacOTU_27	20.0180318077653	8.69616225577862	67.3141975437457	46.0629518184994	57.4833707947515	2.68187833185048	41.4088706304975	12.0221660662997	66.903328649365	19.2265144478968	3.97129127090858	0.815464765197896	0.862247269687553	46.6501592455752	10.678759053035	28.4042721456895	bac	bacOTU_27
bacOTU_6	19.1662049223285	440.600587626117	5.30042264123982	71.6534250509991	12.7974705054009	6.57478236195602	79.6566664037052	1.65148270141479	27.8606513072427	25.6673632879422	79.473565309058	18.1748436371531	5.99764622391341	17.9247533061816	12.6126894327185	6.58986793779995	bac	bacOTU_6
bacOTU_7	99.6638455961082	22.5206714829139	42.9327133940425	66.5353304044992	50.1406172260789	29.0671167581214	15.6469255435849	2.3780910900373	76.7587617648522	36.9148157399618	10.6230366496805	5.97067424838459	12.1451311034247	26.197670216727	68.2762507957829	20.2238705677309	bac	bacOTU_7
bacOTU_70	37.0545695165018	10.702945853266	21.9964389611452	7.54255526852622	18.0422944830242	12.8899377885717	18.8079004008748	8.32306881513053	20.279548910714	5.86415640660852	1.98569563545429	2.9459339903924	3.78605105384534	19.3035727912725	11.3514304894467	11.248152169693	bac	bacOTU_70
bacOTU_20	48.9801459126173	21.1828157512556	10.6007452824796	71.6534250509991	5.24492397762332	12.1978659609974	28.764971201338	1.32120616113183	14.972777233144	1.24981693911329	1.78713607190886	0.7365584975981	1.2745785725816	9.19222990060596	4.12021254802138	1.24988357441034	bac	bacOTU_20
bacOTU_22	36.202742631065	59.5346800587921	17.2261485840294	30.4392944765523	25.8046339699067	10.294668435168	23.8654601725387	2.3780910900373	14.2146669934912	4.90283568421368	3.02813334406779	0.605048051598439	1.98678718667132	5.28557469284843	7.98807330738839	3.29498396889998	bac	bacOTU_22
bacOTU_19	31.5176947611624	12.9327054060297	9.93820495232466	11.5831563052367	38.6020044753076	4.58507585767986	11.6957069719726	21.2699091942225	27.6711237473294	11.8243448854565	2.82957378052237	0.578745962398507	1.57445588377727	54.2336664135752	3.27937325250682	17.6106867303275	bac	bacOTU_19
bacOTU_32	35.3509157456281	8.91913821105499	8.08309202789072	38.2511231475259	23.0773255015426	4.15253096544591	7.27034217176674	6.67168611371575	24.0701001089783	26.3402877936186	13.2539508666574	0.552443873198575	2.43660315346482	51.4760274433934	5.63372327994761	8.86220170945511	bac	bacOTU_32
bacOTU_53	14.481157052426	6.91235461356762	5.16791457520882	3.23258082936838	9.6505761188269	4.93111177146702	3.79326982874787	1.98175924169775	1.70584803921894	0.192364144478968	0.0993797817727146	0.184214624399525	0.524885294592423	8.50282015806051	0.420519647757284	2.61328383740343	bac	bacOTU_53
bacOTU_26	70.7017314912563	7.80425843467312	6.36048716948778	6.1956882562894	26.4340128472215	5.8827105343817	8.21863462895371	15.6552080094122	11.5612811547061	7.88292992363768	3.02813334406779	0.789162675997964	2.32414916176645	60.8979605915145	4.54063219577867	27.2681052598619	bac	bacOTU_26
bacOTU_11	27.6844737766967	13.6016332718589	4.63788231108484	3.23258082936838	24.5458762152771	2.24933343961653	12.4859506862951	6.40746488148938	32.9778954248995	5.960288478848	1.19145738127258	1.551923262796	3.48617374264967	73.3073359573325	18.7508162899749	29.6540557200998	bac	bacOTU_11
bacOTU_48	27.6844737766967	14.270561137688	6.09547103742579	15.3543839394998	13.8464353009256	4.84460279302023	4.42546480020584	1.5854273933582	13.4565567538383	11.0552883075406	5.75832734281745	0.920673121997625	2.13672584226915	18.1545565536968	7.23131794142529	4.77200092047583	bac	bacOTU_48
bacOTU_16	24.7030796776679	52.3994494899481	16.4311001878434	22.6274658055787	5.24492397762332	19.7241470858681	12.0118044577016	0.330376540282958	9.28695043574755	46.3357588194312	3.27633279849958	0.236818802799389	1.19960924478268	0.229903247515149	8.15624116649131	1.13626688582758	bac	bacOTU_16
